,Movie,LikeCountMean,LikeCountMax,RetweetCountMean,RetweetCountMax,ReplyCountMean,ReplyCountMax,QuoteCountMean,QuoteCountMax,VerifiedMean,FriendsCountMean,FriendsCountMax,FollowersCountMean,FollowersCountMax,StatusesCountMean,StatusesCountMax,revenue
838,Honsla Rakh,74.85,823,33.58,396,2.46,61,0.31,4,0.0,380.71,1953,1131.78,17273,30465.25,123686,7100000.0
839,Hooray! Vacations!,2.2,19,0.24,6,0.28,3,0.04,1,0.05,1547.76,32873,7094.42,131726,34376.21,428935,21100.0
840,Hope Gap,10.89,294,1.55,14,0.57,5,0.09,2,0.2,2441.45,19613,136834.85,10827077,44125.68,791880,1136167.0
841,Host,53.96,4239,2.83,144,1.77,33,1.1,44,0.16,1128.87,8856,60185.26,1986317,39534.51,472973,26745.0
842,Hostage: Missing Celebrity,30.08,703,6.13,132,0.49,4,1.57,68,0.02,481.61,13570,23937.83,406780,43514.84,458085,13000000.0
843,Hostiles,18.82,1377,7.53,613,6.43,582,2.54,237,0.1,5765.49,230872,70749.3,2870645,97394.0,1415693,36976336.0
844,HotHell,1.6122448979591837,8,0.4489795918367347,6,0.22448979591836735,3,0.0,0,0.0,671.265306122449,4841,2762.795918367347,36591,53692.63265306123,620549,15000.0
845,Hotel Artemis,10.98,116,1.99,17,0.55,6,0.21,3,0.3,3015.95,120921,361847.57,14077857,63962.45,308866,12371132.0
846,Hotel Belgrade,18.04,1145,1.75,54,0.5,14,0.16,4,0.05,1628.19,45667,18422.92,934919,22877.9,531916,6237973.0
847,Hotel Mumbai,12.74,337,1.98,35,0.41,5,0.26,5,0.15,2602.87,91294,39622.09,1934846,73358.36,2041214,16872691.0
848,Hotel Transylvania 3: Summer Vacation,8.84,158,5.36,71,0.55,10,0.19,6,0.16,8321.02,230872,48488.76,2870648,61503.65,403032,528600000.0
849,House of Gucci,9.58,146,0.54,16,0.85,8,0.04,1,0.06,1196.19,11896,28443.95,2438258,43512.4,302941,151758425.0
850,House of Setnakht,2.0,2,0.0,0,0.0,0,0.0,0,0.0,1848.0,1848,12080.0,12080,18519.0,18519,36131.0
851,How I Became a Gangster,1.3333333333333333,2,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,1,0.0,1066.3333333333333,2416,1343.3333333333333,2223,101693.66666666667,202739,5975729.0
852,"How Viktor ""The Garlic"" Took Alexey ""The Stud"" to the Nursing Home",1.3333333333333333,2,0.5555555555555556,3,0.1111111111111111,1,0.1111111111111111,1,0.3333333333333333,1395.5555555555557,2947,45916.333333333336,128711,58232.22222222222,187398,95589.0
853,How to Be a Latin Lover,5.631578947368421,175,1.4947368421052631,26,0.30526315789473685,17,0.21052631578947367,11,0.24210526315789474,2962.294736842105,44377,179911.97894736842,7138108,159510.68421052632,1917313,26251899.0
854,How to Train Your Dragon: The Hidden World,9.18,90,1.82,20,0.51,5,0.34,5,0.13,3410.61,230872,96035.33,3443064,50354.77,478330,517526875.0
855,Howard Lovecraft & the Undersea Kingdom,4.708333333333333,35,1.9166666666666667,13,0.08333333333333333,1,0.0625,2,0.25,12128.75,167852,29575.208333333332,240379,50888.791666666664,389734,44162.0
856,Howling Village,24.38,171,4.04,49,0.63,7,0.27,4,0.07,2886.57,25672,24905.46,405305,35846.45,164255,12175665.0
857,Human Comedy,6.11,94,2.05,51,0.44,9,0.18,6,0.17,2390.69,23770,31595.36,996022,52785.02,483534,10000.0
